variable,importance_mean,importance_std
n_agents,1.6059969589888632,0.24753498944276214
beta,0.7597899527498303,0.08554736914016195
memory,0.5034386037841507,0.106436314230596
n_prices,0.33072207352208827,0.06517027544189175
alpha,0.07954390974014558,0.020557525803224213
