n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,20,1,100000,15000,0.5,0.95,1e-06,0,0.36391647026992324,0.2654385643745948,1.476,1.924
2,20,1,100000,15000,0.5,0.95,1e-06,1,0.3585449461253414,0.2648301148461112,1.476,1.924
2,20,1,100000,15000,0.5,0.95,1e-06,2,0.3600453177135601,0.26500006668116394,1.476,1.924
6,5,1,100000,15000,0.3,0.95,1e-06,0,0.09092712543285963,0.05837281192513031,1.3,2.132
6,5,1,100000,15000,0.3,0.95,1e-06,1,0.09015175591820784,0.05829713594054425,1.3,2.132
6,5,1,100000,15000,0.3,0.95,1e-06,3,0.09055156425819605,0.05833615719325356,1.3,2.132
6,5,1,100000,15000,0.3,0.95,1e-06,2,0.0886582615309193,0.05815137104252325,1.3,2.132
6,5,1,100000,15000,0.3,0.95,1e-06,4,0.0878307827595459,0.05807060919986057,1.3,2.132
2,20,1,100000,15000,0.5,0.95,1e-06,3,0.36284963159687084,0.26531772018398614,1.476,1.924
2,20,1,100000,15000,0.5,0.95,1e-06,4,0.35817176262332745,0.26478784317056314,1.476,1.924
3,10,1,100000,15000,0.5,0.95,1e-06,0,0.2873468165986398,0.1578795069044778,1.3719999999999999,2.0
3,10,1,100000,15000,0.5,0.95,1e-06,1,0.2819132361691698,0.15717713986242243,1.3719999999999999,2.0
2,15,2,100000,15000,0.5,0.95,1e-06,2,0.3275629993524988,0.26132069174792877,1.476,1.924
2,15,2,100000,15000,0.5,0.95,1e-06,1,0.32331206161394793,0.26083917458575734,1.476,1.924
2,15,2,100000,15000,0.5,0.95,1e-06,0,0.323086339223579,0.2608136062967035,1.476,1.924
3,10,1,100000,15000,0.5,0.95,1e-06,3,0.2856858035960504,0.15766479750529108,1.3719999999999999,2.0
3,10,1,100000,15000,0.5,0.95,1e-06,4,0.28641198548853997,0.1577586667751846,1.3719999999999999,2.0
3,10,1,100000,15000,0.5,0.95,1e-06,2,0.2870873549926693,0.15784596782594976,1.3719999999999999,2.0
2,15,2,100000,15000,0.5,0.95,1e-06,3,0.330542339284074,0.26165817100479627,1.476,1.924
2,15,2,100000,15000,0.5,0.95,1e-06,4,0.3249281454612833,0.2610222335143657,1.476,1.924
2,20,1,100000,15000,0.05,0.95,2e-05,0,0.32679028681287825,0.26123316415469255,1.476,1.924
2,20,1,100000,15000,0.05,0.95,2e-05,1,0.3183565653034157,0.2602778498458161,1.476,1.924
5,5,1,100000,15000,0.5,0.95,1e-06,0,0.12163478491431816,0.0747299260813889,1.312,2.096
5,5,1,100000,15000,0.5,0.95,1e-06,1,0.12004018091999544,0.07455797677279215,1.312,2.096
5,5,1,100000,15000,0.5,0.95,1e-06,2,0.11870781787017935,0.07441430542490177,1.312,2.096
2,20,1,100000,15000,0.05,0.95,2e-05,2,0.3433812506106843,0.263112475096643,1.476,1.924
5,5,1,100000,15000,0.5,0.95,1e-06,4,0.12043607572576703,0.07460066689420904,1.312,2.096
5,5,1,100000,15000,0.5,0.95,1e-06,3,0.11829741295270284,0.07437005064938632,1.312,2.096
2,20,1,100000,15000,0.05,0.95,2e-05,3,0.35798819183980773,0.2647670495273309,1.476,1.924
2,20,1,100000,15000,0.05,0.95,2e-05,4,0.317763462616189,0.2602106672286162,1.476,1.924
3,5,1,100000,15000,0.05,0.95,0.0001,0,0.26875848540732,0.15547670246179718,1.3719999999999999,2.0
3,5,1,100000,15000,0.05,0.95,0.0001,1,0.3705161165712126,0.16863031403244913,1.3719999999999999,2.0
5,5,1,100000,15000,0.5,0.95,4e-06,1,0.1010345548258978,0.07250856244925881,1.312,2.096
5,5,1,100000,15000,0.5,0.95,4e-06,0,0.09971630919835717,0.07236641341098768,1.312,2.096
5,5,1,100000,15000,0.5,0.95,4e-06,2,0.09484269434782322,0.07184088186403323,1.312,2.096
5,5,1,100000,15000,0.5,0.95,4e-06,3,0.09696645783852274,0.07206989148971395,1.312,2.096
5,5,1,100000,15000,0.5,0.95,4e-06,4,0.10511932590241461,0.07294903140887747,1.312,2.096
3,5,1,100000,15000,0.05,0.95,0.0001,2,0.3428674947938807,0.16505633901786626,1.3719999999999999,2.0
3,5,1,100000,15000,0.05,0.95,0.0001,3,0.2452713718795472,0.15244066118679406,1.3719999999999999,2.0
3,5,1,100000,15000,0.05,0.95,0.0001,4,0.28389128791016716,0.15743283099801722,1.3719999999999999,2.0
3,5,1,100000,15000,0.15,0.95,0.0001,0,0.7357424220674594,0.21584097433314353,1.3719999999999999,2.0
3,5,1,100000,15000,0.15,0.95,0.0001,2,0.2453653056803295,0.15245280345774426,1.3719999999999999,2.0
3,5,1,100000,15000,0.15,0.95,0.0001,1,0.24530699227791372,0.1524452656265667,1.3719999999999999,2.0
3,5,1,100000,15000,0.15,0.95,0.0001,4,0.24532255302587408,0.1524472770730998,1.3719999999999999,2.0
3,5,1,100000,15000,0.15,0.95,0.0001,3,0.24531666815963252,0.15244651637099024,1.3719999999999999,2.0
4,10,1,100000,15000,0.5,0.95,0.0001,0,0.001907644691481309,0.08181823145058516,1.332,2.056
2,5,2,100000,15000,0.05,0.95,2e-05,0,0.24567549742857467,0.25204503541776624,1.476,1.924
2,5,2,100000,15000,0.05,0.95,2e-05,2,0.23687404460179062,0.2510480670195456,1.476,1.924
2,5,2,100000,15000,0.05,0.95,2e-05,1,0.20736364466292564,0.2477053306853384,1.476,1.924
4,10,1,100000,15000,0.5,0.95,0.0001,1,-0.18133666369381768,0.05991841356357941,1.332,2.056
4,10,1,100000,15000,0.5,0.95,0.0001,2,0.006427043859157638,0.08235835201205269,1.332,2.056
4,10,1,100000,15000,0.5,0.95,0.0001,3,-0.1125681565912807,0.06813704690164844,1.332,2.056
2,5,2,100000,15000,0.05,0.95,2e-05,3,0.28543327751002623,0.25654852491031827,1.476,1.924
4,10,1,100000,15000,0.5,0.95,0.0001,4,-0.06784663885375562,0.07348178640658834,1.332,2.056
2,5,2,100000,15000,0.05,0.95,2e-05,4,0.2469980489997136,0.25219484501708944,1.476,1.924
2,5,1,100000,15000,0.05,0.95,4e-06,0,0.23813208513022502,0.25119056924903127,1.476,1.924
2,5,1,100000,15000,0.05,0.95,4e-06,2,0.22623267777884387,0.24984268574384677,1.476,1.924
2,5,1,100000,15000,0.05,0.95,4e-06,1,0.22367300780481267,0.24955274383036885,1.476,1.924
2,5,1,100000,15000,0.05,0.95,4e-06,3,0.23646471017872064,0.2510017004148343,1.476,1.924
2,5,1,100000,15000,0.05,0.95,4e-06,4,0.24701321839762777,0.25219656330276774,1.476,1.924
2,15,1,100000,15000,0.15,0.95,2e-05,0,0.4438435213479388,0.2744921542370842,1.476,1.924
2,15,1,100000,15000,0.15,0.95,2e-05,1,0.32190015914144776,0.26067924392724506,1.476,1.924
2,15,1,100000,15000,0.15,0.95,2e-05,2,0.3208894478143231,0.26056475745862473,1.476,1.924
2,15,1,100000,15000,0.15,0.95,2e-05,3,0.36935476329372613,0.266054577025199,1.476,1.924
2,15,1,100000,15000,0.15,0.95,2e-05,4,0.26388695152058556,0.2541079044204983,1.476,1.924
2,20,1,100000,15000,0.05,0.95,4e-06,0,0.36142791689012604,0.26515667806266763,1.476,1.924
2,20,1,100000,15000,0.05,0.95,4e-06,1,0.3477941479899177,0.2636123379395475,1.476,1.924
2,20,1,100000,15000,0.05,0.95,4e-06,2,0.3521828920598777,0.2641094648607205,1.476,1.924
2,20,1,100000,15000,0.05,0.95,4e-06,3,0.3610256560226554,0.26511111270197074,1.476,1.924
