restriction,implementation_cost,delta,cs,n,delta_reduction,cs_gain,overshoot
baseline (none),n/a,0.3013585953956378,0.5804755564971334,10,0.0,0.0,0.0
R1 structural: n_agents=4,high,0.10146088908101636,0.809651368311671,10,0.19989770631462145,0.2291758118145375,0.0
R2 price-grid cap: n_prices=5,low,0.3857641497482805,0.5489740952672292,10,-0.08440555435264269,-0.03150146122990427,0.0
R3 exploration floor: min_epsilon=0.2,low,0.2841578099424302,0.5797031092765106,10,0.017200785453207634,-0.0007724472206228628,0.0
R4 heterogeneity mandate,low,0.2524928462306043,0.5455204810041392,10,0.0488657491650335,-0.03495507549299426,0.0
R5 regulator plant: replace 1/2 @70% w/ fixed-Nash agent,moderate,0.10617670728763969,,10,0.19518188810799814,,0.0
