price_level_norm,pairwise_price_corr,mean_autocorr,dispersion_ratio,label
1.6914461925926172,-0.002749781154917497,-0.5026578995670514,0.5625140423426801,1
1.6788440296296678,0.01921360006931505,-0.49594579354598284,0.5563399364278957,1
1.6865956148148373,-0.011882622537590773,-0.4991485049665385,0.5658097923940444,1
1.6867240296296764,0.016079435580629145,-0.49948971054495617,0.5550758246378877,1
1.6885072444444786,0.007534694553478339,-0.5078696330071477,0.5552243302993864,1
1.6863592148148359,-0.006077815197878757,-0.5072462702358546,0.5631684663164163,1
1.68883703703704,-0.0018511821876660746,-0.5046695035001877,0.5626340063879206,1
1.6889771259259558,0.0006769967077006657,-0.4983254823181339,0.5595029214580776,1
1.6794306518518738,0.011232370442151232,-0.4978860635293504,0.5603435205626637,1
1.6763749629629716,0.0007157074690135434,-0.4973754006655668,0.5631141654538434,1
1.6810854518519083,0.010415080251944552,-0.4975608022065171,0.5564426877260682,1
1.68824165925929,-0.017323284322142037,-0.497920406368249,0.5674899022548757,1
1.6913498814815102,0.003733474832324663,-0.4928252455136735,0.5583762126219439,1
1.6786280592592653,0.011652633521824152,-0.502063169300059,0.557937474356371,1
1.6724349629629796,0.0029675323051115555,-0.4940139107514073,0.5593344839716191,1
1.6164193066663195,0.024397796528096878,-0.5144176112608422,0.8722082462431814,0
1.6158795851848387,0.021821622856710465,-0.5131138947724597,0.8745143617428399,0
1.6148102982712613,0.02117812617176807,-0.5140460457153746,0.8747397024819265,0
1.6149510320984213,0.020217672457895068,-0.5166658776490095,0.8749168553630015,0
1.6154153086416316,0.02139061640570879,-0.5174366349152911,0.8745099113799372,0
1.6140602014811372,0.02188457766021477,-0.5152482727516331,0.8742948857737814,0
1.6152905343206416,0.02442472232769102,-0.5128967567886439,0.872982079014196,0
1.615309395555209,0.019264929407226482,-0.5114445774659013,0.8753059956443804,0
1.6141196869132328,0.019674315017036113,-0.5118713101640625,0.8748542744039225,0
1.614753714567553,0.02603328329047394,-0.5137631126113517,0.8719317395725583,0
1.61382806320953,0.026367029338021264,-0.5156416001063042,0.8718703020783511,0
1.614478050370025,0.020839421195372024,-0.5148680998499393,0.8746789821571864,0
1.614042791110766,0.02290511371545465,-0.5143791036232911,0.8734324615634236,0
1.614276380246568,0.02347457628085263,-0.5166181886359174,0.8731000281304702,0
1.6139789530860755,0.021749640868830043,-0.5164957543222236,0.8736130982413215,0
