te_max,te_asymmetry,mutual_info,interaction_info,label
4.440892098500626e-16,0.0,2.584962500721156,2.095319256972351,0
0.0,0.0,2.584962500721156,2.0711124047054836,0
4.440892098500626e-16,0.0,2.584962500721156,2.1543671735914103,0
-4.440892098500626e-16,0.0,2.584962500721156,1.9935136455686102,0
0.0,0.0,2.584962500721156,2.0031428815264034,0
0.0,0.0,2.584962500721156,2.146229504196438,0
0.0,0.0,2.584962500721156,2.0936137589686177,0
-4.440892098500626e-16,0.0,2.584962500721156,2.075126472275028,0
0.0,0.0,2.584962500721156,2.105161380939361,0
0.0,0.0,2.584962500721156,1.8128898670237867,0
0.0,0.0,2.584962500721156,1.635978495216448,0
0.0,0.0,2.584962500721156,1.956702246761759,0
0.0,0.0,2.584962500721156,2.142222681458716,0
-4.440892098500626e-16,0.0,2.584962500721156,2.05420253876731,0
4.440892098500626e-16,0.0,2.584962500721156,2.15385018230823,0
