n_agents,replace_fraction,replace_type,seed,pre_replacement_delta,final_delta,post_delta_w0,post_delta_w1,post_delta_w2,post_delta_w3,post_delta_w4,post_delta_w5
2,0.0,naive,2,0.3405305029501292,0.28740306487605816,0.3266705824260628,0.3280894147964379,0.3174470855912613,0.31014530995022616,0.2913254970993273,0.28740306487605816
2,0.0,naive,3,0.3400121703734882,0.28522754397182315,0.31657842169892586,0.3107288368476836,0.2989388042311624,0.2927790990604026,0.3006101759964163,0.28522754397182315
2,0.0,naive,0,0.3630606601424651,0.2845006310781708,0.3515237391857936,0.3427379672796943,0.3237496003835705,0.30110136417707334,0.2908385096214686,0.2845006310781708
2,0.0,naive,1,0.31433323433569615,0.29445413707210105,0.31457724327706094,0.3017380208750003,0.3076270822741697,0.28932073013957577,0.29687572525718015,0.29445413707210105
2,0.0,naive,4,0.3536579090481536,0.28710189065427183,0.33816261686928056,0.32870315729557675,0.31322229490650355,0.2925557282603373,0.2834980506873802,0.28710189065427183
2,0.0,naive,5,0.34495325229428014,0.30055807514259864,0.3415204261560264,0.336702184248178,0.3172036892426961,0.3213023142724232,0.3121675029242288,0.30055807514259864
2,0.0,naive,6,0.3489438749135145,0.2909046171495132,0.3640899127152368,0.34740580297410933,0.31401104641335514,0.3326112359490273,0.294518717850218,0.2909046171495132
2,0.0,naive,7,0.3534760080560818,0.3047620718012462,0.3640858223559578,0.36354207329821975,0.3419480077746205,0.32427694073470575,0.30299109259422685,0.3047620718012462
2,0.0,naive,8,0.3174126129763252,0.2877061305263799,0.3124403743591022,0.3263403461892402,0.3009359132637918,0.29410325133041515,0.29841801594454687,0.2877061305263799
2,0.0,naive,9,0.2967775555482041,0.26197495442244983,0.295648909902583,0.3014266280431869,0.30810752384522244,0.28218982700092793,0.27469921300286776,0.26197495442244983
2,0.34,naive,0,0.3630606601424651,0.28066176809990795,0.35072705043402647,0.34297692645077293,0.3448575470633213,0.3236030419996942,0.306322766113001,0.28066176809990795
2,0.34,naive,1,0.31433323433569615,0.2939711414257329,0.301284507818064,0.3059641432652859,0.3065223145716418,0.30237014665111317,0.2934927198030527,0.2939711414257329
2,0.34,naive,2,0.3405305029501292,0.3242603699501523,0.322989965536695,0.33182380481086465,0.33554299898238454,0.33759333805432157,0.3445279891680428,0.3242603699501523
2,0.34,naive,3,0.3400121703734882,0.31615037693676973,0.3375463702768112,0.33884241017033506,0.33218460218435425,0.32915123052965695,0.3016495271532247,0.31615037693676973
2,0.34,naive,4,0.3536579090481536,0.3075436817440463,0.3242138962816502,0.32213644977529293,0.320052467374102,0.3144545629587617,0.30609735846200864,0.3075436817440463
2,0.34,naive,5,0.34495325229428014,0.3205447156630803,0.3402202162682596,0.3358925629442002,0.3397500864316691,0.3370811811628243,0.32417602591456113,0.3205447156630803
2,0.34,naive,7,0.3534760080560818,0.3357535233749255,0.3379509552712635,0.3405526261111224,0.3358761857577673,0.33797486123347853,0.3411233033783049,0.3357535233749255
2,0.34,naive,6,0.3489438749135145,0.3265369499827091,0.3404547014564127,0.33835675026340933,0.32927675312497895,0.3283172622488559,0.3229910270181514,0.3265369499827091
2,0.34,naive,8,0.3174126129763252,0.31488356156376807,0.32211002339472017,0.3283136803785422,0.3236568265408087,0.3110811449022718,0.3232336226637887,0.31488356156376807
2,0.34,naive,9,0.2967775555482041,0.3084435794213994,0.3247037965414002,0.3307041329523572,0.3230681998676129,0.3140043373831091,0.3057072431261102,0.3084435794213994
