te_max,te_asymmetry,mutual_info,interaction_info,label
0.02726686486178087,0.003731568379087058,0.0038488409344550334,-0.005373753859077013,1
0.05635336240606259,0.017082073859127966,0.0025182421976674974,-0.006979133945695715,1
0.03221806301584573,0.003969130015921252,0.0015344645614190355,-0.006758757746542443,1
0.03129422397471293,0.002425970120500498,0.006003613086432935,-0.004306853353069684,1
0.03353128931124605,0.0016937966760703915,0.0034686954339040454,-0.006011259007540737,1
0.04046452106045395,0.0168116054521934,0.009794776790226223,-0.006131303932185084,1
0.037956537097703524,0.010738318876842179,0.0018962010473266844,-0.006215818900098036,1
0.033114618500139414,0.0073265923686052226,0.003426084238612681,-0.006573811395379714,1
0.031644425089173644,0.004184467348602894,0.0025979278433636566,-0.006600275577204329,1
0.04380788400537661,0.019109342698303333,0.003166348615915915,-0.006003563335890583,1
0.03857919656406095,0.011437402904944882,0.006598850575631587,-0.007249509888531236,1
0.03342935793440871,0.000865368376164799,0.001617438159095208,-0.0062404898316010815,1
0.03742993144849116,0.005363463422420001,0.003212322954542657,-0.005993200624321737,1
0.07780522512835164,0.019838482106109723,0.0017647789849890572,-0.009859908390906114,1
0.04590966462828616,0.019708421570610035,0.0019456206845864799,-0.008710932272959937,1
0.014739558814700349,0.0025739506854352,0.011177092076772865,-0.0071548243495644925,0
0.013185637984076681,0.00012663316335403962,0.01044734534041325,-0.0031391084244045686,0
0.01379377487123934,0.002314585024165261,0.0042722214439008255,-0.0039027459658420582,0
0.02152155204841666,0.0004279080634739252,0.02671901795058229,-0.008637827935114473,0
0.021112738821110533,0.0016746549993023052,0.019736041351803735,-0.003885612650925907,0
0.02166806815037159,0.0015763344571380067,0.026733344766979528,-0.005171339956246079,0
0.013690456846364274,0.0014915739378027482,0.007863705913945473,-0.005750152745510384,0
0.014137216534841901,0.00026834488168203663,0.0076411541223606605,-0.005440837402051812,0
0.013417636907957942,0.0027122839697169,0.0025419379084308247,-0.006799546062547179,0
0.016756666409520893,0.00056053349320484,0.01155159837049613,-0.005243197229902741,0
0.025000280820519194,0.0009518741892984295,0.028070110804694792,-0.007592784293502852,0
0.010838546723230813,0.0010886647407062355,0.0033768094718329422,-0.001950634967797349,0
0.015738186630208872,0.001366218749904391,0.009325302684765724,-0.005893259186380284,0
0.05519193145136159,0.002040816552867142,0.08213799500169738,-0.006838112698660304,0
0.010967906603350563,0.0007658980972702345,0.004167407173508941,-0.006319414902224985,0
